log_id,student_id,question_id,concept_tag,question_text,correct_answer,student_attempt_text,error_type,is_correct,time_to_first_response_ms,hint_requests
ded27e0c,Student_018,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,10557,2
4c91d549,Student_002,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.355 because 355 is a bigger number than 8.,Conceptual,False,55691,1
0e267fb7,Student_009,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,3 * 2 = 6 -> 4 + 6 = 10,None,True,83258,0
d1acfca1,Student_006,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,Minus minus makes a minus. So -5 - 3 = -8,Conceptual,False,30608,0
ccf1e4f0,Student_001,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 + 3 = -2,None,True,68216,0
b6e66357,Student_012,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,They are the same.,Factual,False,41993,0
b669b5c0,Student_020,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 16 -> x = 8,None,True,36039,0
052ab30f,Student_004,math_q5,Exponents,Calculate: 3 squared.,9,3 * 2 = 6,Procedural,False,17601,0
509a76f2,Student_015,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,6811,0
b4a729ab,Student_002,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,110522,0
bf0f0310,Student_009,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 + 3 = -2,None,True,73035,0
4963b3b9,Student_005,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x - 5 = 11 -> 2x = 11 - 5 = 6 -> x = 3,Procedural,False,33621,0
cd0ff9bc,Student_006,math_q5,Exponents,Calculate: 3 squared.,9,3 * 2 = 6,Procedural,False,15706,1
89d59871,Student_004,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 + 3 = -2,None,True,82517,0
4c73ee86,Student_009,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,15702,3
0e3c5297,Student_005,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 16 -> x = 8,None,True,113538,0
a2dc3ba0,Student_010,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 + 3 = -2,None,True,70720,0
15a771b8,Student_001,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,116548,0
6e9d0775,Student_018,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,They are the same.,Factual,False,84488,3
f51cc745,Student_013,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,94591,0
f7186414,Student_020,math_q5,Exponents,Calculate: 3 squared.,9,3 * 2 = 6,Procedural,False,95473,1
afe4c1af,Student_005,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 3 = 7 -> 7 * 2 = 14,Conceptual,False,116970,1
875ba741,Student_013,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,8090,0
5684041d,Student_005,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.355 because 355 is a bigger number than 8.,Conceptual,False,59246,0
2190e6c4,Student_011,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.355 because 355 is a bigger number than 8.,Conceptual,False,91069,3
04c02a0d,Student_001,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 6 = 11,Factual,False,36232,0
f3b595c6,Student_010,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 16 -> x = 8,None,True,44290,0
c5647e55,Student_012,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 - 3 = -8,Procedural,False,57325,3
7cebf765,Student_014,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x - 5 = 11 -> 2x = 11 - 5 = 6 -> x = 3,Procedural,False,100795,0
f22281a1,Student_006,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,13466,3
582ec95a,Student_009,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,13419,1
e549afcc,Student_007,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,92968,1
48a55c52,Student_004,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 16 -> x = 8,None,True,16761,0
cd6b5dc3,Student_019,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,Minus minus makes a minus. So -5 - 3 = -8,Conceptual,False,21264,3
e8444b3f,Student_018,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,31714,0
87670676,Student_016,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,22465,0
2f538197,Student_008,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,11851,0
9016a8c7,Student_003,math_q5,Exponents,Calculate: 3 squared.,9,3,Factual,False,60869,1
14a2213f,Student_002,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 16 -> x = 8,None,True,59504,0
6f7bf440,Student_011,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 6 = 11,Factual,False,92003,2
98db5969,Student_008,math_q5,Exponents,Calculate: 3 squared.,9,3,Factual,False,68292,2
5ba43123,Student_013,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,93369,0
37bff9a0,Student_018,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 6 = 11,Factual,False,96539,3
8d906b22,Student_018,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.355 because 355 is a bigger number than 8.,Conceptual,False,102444,2
1d0e3a12,Student_018,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 6 = 11,Factual,False,26169,0
d0df6c18,Student_015,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,24258,0
3bf892c6,Student_007,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 + 3 = -2,None,True,95988,0
96f69684,Student_020,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,-5 - 3 = -8,Procedural,False,88684,1
9880c70e,Student_009,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,73698,0
1c1ec745,Student_018,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 6 = 11,Factual,False,60057,1
